Lat,Long,Curr Heading, Target Heading, Error in Angle,Filtered Error in Angle
39.747228,-83.8137658333,39.747228,-83.813766,-1.57079632679,2.98702918167,-1.72535979872,-0.3450719594955444
39.747228,-83.8137661667,-1.57079632679,2.98634956858,-1.7260394118,-0.6902798414230347
39.7472281667,-83.8137663333,-0.785398163397,2.9857768276,-2.51201031618,-1.192681908607483
39.7472283333,-83.8137663333,0.0,2.98588341035,2.98588341035,-0.5955052137374878
39.7472285,-83.8137665,-0.785398163397,2.9853118726,-2.51247527118,-1.0980002641677857
39.7472285,-83.8137666667,-1.57079632679,2.98463404146,-1.72775493893,-1.0984792947769164
39.7472286667,-83.8137668333,-0.785398163397,2.98406399281,-2.51372315097,-1.2560160398483275
39.7472285,-83.8137671667,-2.0344439358,2.98260142272,-1.26613994867,-1.0068419694900512
39.7472285,-83.8137676667,-1.57079632679,2.98057012805,-1.73181885234,-1.9503824234008789
39.7472281667,-83.813769,-1.81577498992,2.9749326196,-1.49247769765,-1.7463829040527343
39.7472273333,-83.8137711667,-1.93797015842,2.96555076695,-1.37966438182,-1.6767647981643676
39.7472268333,-83.8137726667,-1.89254688119,2.95909316896,-1.43154525703,-1.4603292226791382
39.7472261667,-83.8137738333,-2.08994244563,2.9538483121,-1.23939454945,-1.4549801349639893
39.7472256667,-83.8137751667,-1.92956699356,2.94803968994,-1.40557862368,-1.3897320985794068
39.747225,-83.813776,-2.24553726902,2.94411574661,-1.09353229155,-1.3099430322647094
39.7472235,-83.8137776667,-2.30361143094,2.93607826602,-1.04349561023,-1.2427092790603638
39.747223,-83.8137803333,-1.75614427679,2.9247765059,-1.60226452449,-1.2768531322479248
39.747222,-83.8137815,-2.2794225929,2.91911627436,-1.08464643991,-1.2459035158157348
39.7472206667,-83.8137826667,-2.42276265661,2.91310552131,-0.94731712926,-1.154251217842102
39.7472195,-83.8137851667,-2.00742348661,2.90174965038,-1.37401217019,-1.2103471755981445
39.7472178333,-83.8137863333,-2.53086668548,2.89528006503,-0.857038556671,-1.1730557560920716
39.747217,-83.8137873333,-2.26553460299,2.89030557479,-1.1273451294,-1.0780718684196473
39.7472158333,-83.8137893333,-2.09887077522,2.88083505464,-1.30347947732,-1.1218384623527526
39.7472145,-83.8137911667,-2.19959261575,2.87181057633,-1.2117821151,-1.1747314572334289
39.7472141667,-83.813793,-1.75064982522,2.86389814411,-1.66863733784,-1.2336565136909485
39.7472136667,-83.8137951667,-1.79759517485,2.85443503537,-1.63115509696,-1.3884798288345337
39.7472128333,-83.8137971667,-1.96558744649,2.8452470213,-1.47235083939,-1.4574809789657592
39.7472128333,-83.8137988333,-1.57079632679,2.83846233866,-1.87392664173,-1.5715704202651977
39.7472125,-83.8138028333,-1.65393755868,2.82185326969,-1.80739447881,-1.6906929016113281
39.7472116667,-83.8138043333,-2.07789483079,2.81469557938,-1.39059489702,-1.6350843906402588
39.7472125,-83.8138065,-1.20362249012,2.80716766118,-2.27239515588,-1.7633323907852172
39.7472115,-83.8138091667,-1.92956699765,2.79515301224,-1.55846529729,-1.7805552721023559
39.747211,-83.8138113333,-1.79759517485,2.78584764293,-1.6997424894,-1.7457184314727783
