Lat,Long,Curr Heading, Target Heading, Error in Angle,Filtered Error in Angle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,
